student_id,gender,school_type,parent_education,prior_gpa,attendance_pct,quiz_avg,assignment_avg,midterm_score,study_hours_per_week,on_time_submission_pct,lms_logins_per_week,forum_posts,commute_time,final_score,grade_band,at_risk
STU0072,Female,Government,Post Graduate,7.82,54.78,80.08,54.58,42.7,9.62,74.58,6,4,34.2,100.0,A,0
STU0073,Male,Semi-Government,Graduate,7.13,64.28,63.16,44.34,66.26,4.74,67.68,3,2,26.31,95.32,A,0
STU0074,Female,Private,High School,7.7,82.82,49.84,64.1,61.79,3.34,94.76,9,2,19.7,100.0,A,0
STU0075,Male,Government,Post Graduate,9.37,79.83,78.52,46.48,58.52,2.16,64.93,7,0,33.06,100.0,A,0
STU0076,Female,Semi-Government,High School,5.12,77.52,76.78,47.61,88.77,8.75,76.55,5,2,9.31,100.0,A,0
STU0077,Female,Private,Post Graduate,8.94,60.07,82.5,54.98,47.9,10.29,97.95,6,6,23.12,100.0,A,0
STU0078,Female,Government,High School,7.13,72.28,64.76,56.17,35.01,10.6,70.41,6,2,57.14,100.0,A,0
STU0079,Male,Private,Post Graduate,5.92,42.34,54.2,55.68,62.4,7.53,76.29,3,2,36.97,90.09,A,0
STU0080,Female,Semi-Government,High School,5.4,77.68,36.94,77.77,54.0,3.37,70.07,8,0,52.85,93.48,A,0
STU0081,Male,Government,High School,6.77,96.43,79.75,62.41,100.0,5.27,96.75,10,4,64.39,100.0,A,0
STU0082,Female,Private,Post Graduate,8.11,52.89,72.63,67.31,75.53,12.61,66.85,6,1,31.46,100.0,A,0
STU0083,Male,Government,High School,6.85,66.21,47.62,83.41,53.81,6.06,97.67,7,1,39.15,100.0,A,0
STU0084,Female,Private,High School,8.81,79.94,55.31,58.51,40.88,8.57,69.93,2,3,28.96,100.0,A,0
STU0085,Male,Semi-Government,High School,5.26,93.79,56.6,66.03,24.39,3.7,54.81,5,2,18.75,90.03,A,0
STU0086,Male,Semi-Government,Post Graduate,6.99,68.28,38.31,75.49,41.5,9.35,85.59,8,4,15.94,100.0,A,0
STU0087,Female,Government,Post Graduate,5.5,64.62,50.28,40.88,64.3,6.17,65.91,6,1,51.86,89.23,A,0
STU0088,Male,Private,High School,7.44,45.47,44.59,34.23,90.55,12.19,84.41,2,1,39.17,100.0,A,0
STU0089,Female,Government,High School,8.06,76.55,57.58,75.19,84.43,11.09,17.41,3,4,71.93,95.76,A,0
STU0090,Female,Government,Post Graduate,6.5,100.0,51.7,77.38,66.58,6.02,72.1,10,4,54.44,100.0,A,0
STU0091,Female,Private,Post Graduate,3.87,79.16,35.71,100.0,55.54,7.49,62.81,3,5,20.38,77.74,B,0
STU0092,Female,Private,High School,7.24,74.67,100.0,72.37,67.38,5.8,50.73,4,1,51.81,100.0,A,0
STU0093,Female,Private,High School,7.52,79.83,87.55,82.3,51.63,2.32,60.94,9,0,28.9,100.0,A,0
STU0094,Female,Semi-Government,High School,7.49,74.83,50.98,67.07,96.37,4.57,60.53,2,4,59.34,100.0,A,0
STU0095,Female,Government,Graduate,8.48,62.8,69.9,74.46,58.22,8.79,71.04,5,2,25.27,100.0,A,0
STU0096,Female,Government,Post Graduate,5.71,87.35,72.51,95.01,60.27,9.3,44.65,1,1,13.95,100.0,A,0
STU0097,Female,Semi-Government,Graduate,7.82,78.39,86.44,38.14,17.68,8.59,78.33,5,4,19.08,100.0,A,0
STU0098,Female,Private,Post Graduate,8.43,75.26,50.27,76.2,58.09,6.79,99.32,9,0,20.11,100.0,A,0
STU0099,Female,Semi-Government,Post Graduate,4.87,60.37,84.66,100.0,78.73,11.73,77.62,2,3,18.19,100.0,A,0
STU0100,Male,Semi-Government,Post Graduate,7.38,94.55,55.14,74.23,40.65,8.25,88.18,5,1,23.55,100.0,A,0
STU0101,Male,Semi-Government,Post Graduate,6.39,84.97,40.95,94.76,46.99,10.81,93.89,6,2,52.13,100.0,A,0
STU0102,Female,Government,Post Graduate,6.9,66.71,78.03,60.56,77.85,0.9,96.73,7,1,70.92,100.0,A,0
STU0103,Female,Semi-Government,Post Graduate,7.42,90.03,88.23,69.52,32.47,0.0,100.0,3,4,8.4,100.0,A,0
STU0104,Female,Government,Post Graduate,6.42,67.54,100.0,70.5,83.16,9.14,62.02,7,1,60.27,100.0,A,0
STU0105,Female,Government,Graduate,6.19,63.27,43.4,36.74,51.36,2.3,57.63,7,4,25.45,77.12,B,0
STU0106,Female,Government,High School,7.04,63.6,77.58,52.48,54.23,7.15,87.67,6,0,41.96,100.0,A,0
STU0107,Female,Private,High School,5.7,48.43,57.62,53.55,39.52,6.79,86.17,4,3,1.92,99.12,A,0
STU0108,Female,Government,Graduate,5.7,82.07,79.1,82.33,69.56,14.35,87.51,10,1,45.48,100.0,A,0
STU0109,Female,Government,Graduate,7.82,47.53,38.53,83.08,100.0,9.6,100.0,6,2,0.0,100.0,A,0
STU0110,Male,Private,Graduate,5.62,56.57,42.27,74.86,77.63,8.66,72.23,8,0,41.28,94.94,A,0
STU0111,Female,Government,Graduate,7.8,43.87,51.03,82.36,44.71,11.35,80.52,3,1,40.15,100.0,A,0
STU0112,Male,Semi-Government,Post Graduate,7.56,73.71,66.42,67.54,84.71,9.47,52.39,6,2,38.82,100.0,A,0
STU0113,Female,Semi-Government,High School,4.93,72.75,53.46,88.03,55.67,6.17,100.0,9,1,20.3,97.08,A,0
STU0114,Female,Government,Post Graduate,6.19,70.1,76.86,70.13,89.49,12.29,65.27,3,1,45.99,100.0,A,0
STU0115,Male,Private,High School,8.43,59.36,83.48,70.87,78.13,3.56,65.84,7,1,42.82,100.0,A,0
STU0116,Female,Semi-Government,High School,5.82,57.42,75.79,66.02,3.14,9.29,65.07,4,2,30.8,89.85,A,0
STU0117,Male,Private,Graduate,6.44,81.97,94.14,80.27,41.92,1.81,59.1,3,1,48.44,99.32,A,0
STU0118,Female,Private,Post Graduate,7.55,66.74,72.48,63.68,80.89,8.82,57.41,9,0,33.09,100.0,A,0
STU0119,Female,Semi-Government,Graduate,7.94,79.75,43.1,84.65,65.03,8.77,61.53,4,3,45.58,100.0,A,0
STU0120,Male,Private,Post Graduate,6.7,61.72,89.54,53.02,41.52,14.71,44.68,4,2,32.48,100.0,A,0
STU0121,Female,Semi-Government,High School,6.28,77.72,54.11,53.52,49.33,1.74,56.29,3,1,39.33,100.0,A,0
STU0122,Male,Private,Graduate,8.71,94.55,81.39,80.31,23.88,5.6,100.0,2,2,46.49,100.0,A,0
STU0123,Female,Semi-Government,Graduate,9.09,83.79,93.33,68.67,60.23,11.29,86.71,3,1,27.04,100.0,A,0
STU0124,Male,Government,High School,8.17,68.81,73.22,63.19,100.0,9.34,90.52,6,2,10.32,100.0,A,0
STU0125,Male,Semi-Government,High School,7.1,78.86,38.07,83.35,78.1,8.72,95.54,12,0,40.52,100.0,A,0
STU0126,Female,Semi-Government,High School,6.03,71.39,48.47,60.89,100.0,4.18,100.0,7,3,58.79,100.0,A,0
STU0127,Female,Semi-Government,Graduate,6.0,75.12,88.81,67.0,79.65,5.64,36.57,4,2,40.98,100.0,A,0
STU0128,Male,Semi-Government,Post Graduate,7.63,70.12,61.96,90.99,82.55,12.98,47.4,7,1,41.36,100.0,A,0
STU0129,Female,Private,Graduate,7.5,72.53,66.43,93.09,100.0,7.79,55.93,5,3,34.16,100.0,A,0
STU0130,Female,Government,Post Graduate,8.68,78.18,78.66,93.59,69.55,9.5,62.61,8,3,49.78,100.0,A,0
STU0131,Female,Semi-Government,Graduate,7.78,60.1,77.53,65.77,58.26,7.54,65.99,4,2,31.28,100.0,A,0
STU0132,Male,Private,Graduate,5.2,59.76,70.02,88.46,82.65,3.27,63.06,7,2,25.92,96.28,A,0
STU0133,Male,Government,High School,8.26,54.17,61.24,55.77,91.08,11.74,76.39,5,2,57.11,100.0,A,0
STU0134,Male,Government,Post Graduate,5.8,51.0,59.37,56.4,52.4,10.01,72.71,2,2,24.39,90.24,A,0
STU0135,Male,Government,Graduate,6.54,56.74,80.44,34.74,47.57,17.22,57.54,4,3,52.79,100.0,A,0
STU0136,Male,Government,Graduate,7.3,77.39,74.96,95.09,64.78,3.94,28.49,6,2,57.12,100.0,A,0
STU0137,Male,Semi-Government,High School,9.39,61.61,60.37,57.04,78.63,11.29,52.14,6,1,46.34,100.0,A,0
STU0138,Male,Semi-Government,High School,10.0,82.7,84.48,68.1,77.96,2.75,61.02,4,2,10.02,100.0,A,0
STU0139,Male,Private,Post Graduate,7.73,75.52,62.68,56.35,33.52,8.63,67.06,3,3,35.54,97.53,A,0
STU0140,Male,Private,Graduate,6.78,45.47,49.67,80.43,100.0,11.91,49.41,4,2,30.96,100.0,A,0
STU0141,Female,Private,Post Graduate,7.64,84.82,51.34,64.37,49.18,0.0,62.18,5,2,25.08,87.46,A,0
STU0142,Male,Government,Graduate,8.07,87.16,47.38,50.43,56.7,7.18,49.38,7,2,37.86,100.0,A,0
STU0143,Female,Government,Post Graduate,6.62,60.09,60.1,76.62,43.95,5.75,69.48,10,3,50.38,100.0,A,0
STU0144,Female,Semi-Government,High School,9.15,81.3,87.21,48.49,100.0,5.19,50.54,7,2,25.83,100.0,A,0
STU0145,Female,Government,Graduate,7.28,62.15,50.51,57.44,66.84,9.54,55.02,5,4,31.57,87.29,A,0
STU0146,Male,Government,Post Graduate,7.6,76.47,68.39,38.4,44.98,12.48,45.83,3,2,30.18,86.82,A,0
STU0147,Male,Government,High School,7.8,56.03,53.18,48.64,79.28,7.47,68.93,4,1,58.28,100.0,A,0
STU0148,Male,Private,High School,7.51,48.1,60.31,72.68,77.38,8.82,54.67,4,2,29.86,100.0,A,0
STU0149,Male,Private,Post Graduate,8.01,69.26,37.82,40.53,58.25,8.46,90.14,8,2,10.31,100.0,A,0
STU0150,Female,Semi-Government,Graduate,6.26,73.14,61.03,47.78,78.81,8.01,80.12,8,2,3.53,100.0,A,0
STU0151,Male,Government,Graduate,6.33,69.03,61.51,69.96,45.49,3.64,70.6,4,2,42.25,94.02,A,0
STU0152,Male,Government,High School,5.68,57.24,74.73,61.85,52.14,12.43,56.05,4,3,19.79,100.0,A,0
STU0153,Male,Semi-Government,Graduate,7.53,69.0,69.02,99.88,21.8,9.18,79.61,8,1,48.37,100.0,A,0
STU0154,Male,Government,Graduate,7.93,79.04,43.43,97.51,35.52,9.58,85.81,4,3,8.38,100.0,A,0
STU0155,Male,Government,Graduate,7.55,74.33,84.52,56.98,98.15,4.77,74.85,6,3,24.22,100.0,A,0
STU0156,Female,Private,High School,9.01,77.74,68.79,78.36,94.83,6.16,100.0,6,3,8.39,100.0,A,0
STU0157,Male,Semi-Government,Post Graduate,6.99,64.95,68.57,81.24,63.32,7.3,81.19,1,2,43.69,100.0,A,0
STU0158,Female,Semi-Government,Graduate,7.8,92.58,64.83,61.04,95.26,1.86,90.27,5,3,47.98,100.0,A,0
STU0159,Male,Semi-Government,High School,5.69,57.36,55.68,47.57,58.8,1.25,74.67,3,2,41.77,84.53,B,0
STU0160,Female,Semi-Government,High School,6.54,82.31,68.92,69.82,57.13,5.6,85.51,9,3,13.28,94.5,A,0
STU0161,Male,Private,Post Graduate,7.83,92.73,73.56,67.41,63.13,10.09,56.06,4,1,20.08,100.0,A,0
STU0162,Male,Private,Graduate,8.02,82.21,33.56,63.46,59.5,5.39,62.83,8,1,39.69,98.97,A,0
STU0163,Female,Government,Graduate,6.65,71.96,55.3,76.63,57.7,3.92,78.99,8,2,1.25,100.0,A,0
STU0164,Female,Government,Post Graduate,6.91,67.08,60.41,58.74,84.87,4.74,78.84,2,2,30.18,100.0,A,0
STU0165,Female,Government,Post Graduate,5.18,90.54,69.61,52.72,65.0,6.18,82.15,6,3,65.34,100.0,A,0
STU0166,Male,Government,High School,6.57,53.66,86.48,71.64,76.25,6.58,94.01,9,3,31.4,100.0,A,0
STU0167,Female,Private,High School,8.07,60.45,51.11,75.79,82.63,16.66,43.5,4,3,5.23,100.0,A,0
STU0168,Male,Semi-Government,Post Graduate,7.69,69.04,56.04,52.35,69.76,12.22,52.51,4,2,22.85,100.0,A,0
STU0169,Male,Private,Graduate,7.6,93.56,55.77,83.92,42.59,12.1,76.59,6,1,22.39,100.0,A,0
STU0170,Female,Government,High School,7.06,80.7,50.57,43.44,34.94,12.67,57.51,13,2,77.81,100.0,A,0
STU0171,Female,Private,High School,7.01,60.48,58.75,61.33,64.98,4.0,100.0,6,2,68.31,98.35,A,0
STU0172,Male,Semi-Government,Graduate,6.21,70.35,78.87,66.13,58.57,3.11,82.31,8,3,49.62,100.0,A,0
STU0173,Male,Semi-Government,High School,7.84,65.79,46.03,60.46,63.75,3.57,70.43,8,1,28.14,100.0,A,0
STU0174,Female,Private,Graduate,7.51,64.35,72.7,61.52,61.68,13.34,61.69,1,2,59.01,100.0,A,0
STU0175,Female,Private,Graduate,7.59,89.68,34.37,98.07,100.0,5.81,62.4,8,1,12.33,100.0,A,0
STU0176,Female,Private,Graduate,6.37,54.42,54.9,57.24,35.4,2.99,72.6,4,3,56.53,84.17,B,0
STU0177,Male,Government,Post Graduate,4.42,99.13,59.07,100.0,22.2,6.28,74.24,4,1,53.56,90.94,A,0
STU0178,Male,Private,Post Graduate,8.32,87.42,95.15,76.56,68.65,7.05,62.87,2,1,31.97,100.0,A,0
STU0179,Male,Private,Post Graduate,6.43,91.36,60.05,71.38,54.47,9.07,66.54,6,6,57.78,97.14,A,0
STU0180,Male,Private,Graduate,5.96,68.06,25.38,77.14,68.32,9.0,98.89,6,2,26.06,99.43,A,0
STU0181,Male,Semi-Government,Graduate,7.83,72.75,29.02,100.0,73.68,4.69,99.69,3,1,9.7,100.0,A,0
STU0182,Male,Semi-Government,Post Graduate,6.53,53.5,65.61,55.1,87.68,10.74,77.04,5,2,54.56,100.0,A,0
STU0183,Female,Government,High School,8.27,67.13,76.05,53.19,31.86,5.44,45.17,8,2,33.3,96.1,A,0
STU0184,Male,Government,Graduate,7.74,82.4,71.76,58.68,50.87,7.37,82.77,9,0,47.04,100.0,A,0
STU0185,Male,Semi-Government,High School,7.82,94.44,68.02,70.48,70.58,10.75,100.0,3,3,71.42,100.0,A,0
STU0186,Male,Semi-Government,High School,5.36,58.39,85.92,44.11,77.41,5.43,99.4,2,2,20.55,93.43,A,0
STU0187,Female,Semi-Government,Graduate,8.45,69.52,55.29,70.34,100.0,5.72,86.69,7,4,32.13,100.0,A,0
STU0188,Male,Private,Graduate,7.31,72.73,81.11,95.4,81.11,10.37,100.0,6,3,66.39,100.0,A,0
STU0189,Male,Private,High School,6.56,54.06,35.62,72.27,60.86,4.57,73.07,6,3,48.37,100.0,A,0
STU0190,Female,Semi-Government,High School,7.17,83.87,48.71,65.61,44.19,6.46,84.56,6,1,21.0,99.1,A,0
STU0191,Male,Private,Post Graduate,4.87,64.14,32.47,60.73,50.71,10.22,58.38,4,1,15.9,87.0,A,0
STU0192,Male,Private,Post Graduate,7.49,72.07,60.05,83.48,50.15,16.22,77.85,6,5,24.44,100.0,A,0
STU0193,Male,Government,Graduate,5.76,68.22,64.17,57.61,75.1,10.42,98.59,10,1,20.23,100.0,A,0
STU0194,Male,Semi-Government,Post Graduate,5.38,63.16,67.05,97.7,67.14,9.89,60.21,4,1,39.75,100.0,A,0
STU0195,Male,Semi-Government,Post Graduate,5.17,74.89,66.11,99.0,35.53,10.12,54.77,3,3,36.57,100.0,A,0
STU0196,Female,Private,Post Graduate,8.34,71.77,48.3,73.85,53.28,3.71,73.95,0,2,40.58,100.0,A,0
STU0197,Female,Semi-Government,Post Graduate,6.24,69.42,61.58,69.83,79.55,8.46,67.47,8,6,18.18,100.0,A,0
STU0198,Female,Government,High School,8.84,64.07,38.05,85.46,69.03,7.88,84.98,3,1,33.58,100.0,A,0
STU0199,Male,Government,Graduate,6.36,79.79,89.54,86.42,73.37,9.29,62.93,4,4,0.0,100.0,A,0
STU0200,Male,Government,Post Graduate,4.95,99.8,59.53,57.91,69.66,8.47,100.0,5,1,37.9,100.0,A,0
STU0201,Male,Semi-Government,High School,5.66,77.1,56.2,62.1,94.53,9.52,46.21,3,2,58.51,100.0,A,0
STU0202,Female,Semi-Government,High School,8.48,89.94,93.6,50.16,66.72,6.75,97.07,2,1,6.51,100.0,A,0
STU0203,Male,Semi-Government,High School,6.81,54.15,42.64,76.14,54.28,8.23,56.7,8,4,44.67,98.37,A,0
STU0204,Male,Semi-Government,Post Graduate,6.34,77.37,44.74,80.0,43.68,3.09,36.08,4,0,22.78,90.18,A,0
STU0205,Female,Semi-Government,Post Graduate,7.19,58.54,45.27,49.75,66.99,6.72,76.76,3,1,51.05,85.02,A,0
STU0206,Male,Government,Graduate,7.6,52.85,63.78,63.17,13.19,13.56,66.91,8,2,38.17,100.0,A,0
STU0207,Female,Private,Post Graduate,8.34,63.91,72.77,49.79,58.31,9.28,49.81,5,0,43.09,100.0,A,0
STU0208,Female,Government,Post Graduate,8.74,92.88,78.31,56.52,57.88,7.92,38.37,6,1,36.3,100.0,A,0
STU0209,Female,Semi-Government,High School,6.57,89.25,100.0,78.27,34.71,15.58,71.83,7,0,61.57,100.0,A,0
STU0210,Male,Government,Graduate,5.41,78.65,24.51,59.0,43.43,2.56,91.52,10,2,41.95,88.86,A,0
STU0211,Male,Semi-Government,Post Graduate,6.5,52.01,75.96,65.49,78.19,3.56,83.7,7,2,20.89,100.0,A,0
STU0212,Male,Semi-Government,Post Graduate,7.31,72.06,54.97,45.59,66.61,14.85,73.13,3,3,36.97,100.0,A,0
STU0213,Male,Government,High School,5.84,79.53,54.44,72.8,64.04,8.18,81.58,3,2,27.62,100.0,A,0
STU0214,Male,Semi-Government,High School,5.85,77.63,53.84,69.34,68.13,7.03,71.46,7,0,38.25,88.54,A,0
STU0215,Male,Private,Post Graduate,7.41,47.34,48.64,59.07,63.85,3.2,43.41,3,1,26.6,100.0,A,0
STU0216,Male,Semi-Government,Graduate,6.94,61.65,95.32,67.16,86.86,9.79,43.58,3,1,21.46,100.0,A,0
STU0217,Female,Private,Graduate,7.04,74.04,80.16,72.7,64.47,10.18,67.94,3,4,38.99,100.0,A,0
STU0218,Male,Private,High School,6.09,83.04,65.42,57.78,32.84,3.62,68.79,8,0,36.12,96.89,A,0
STU0219,Female,Semi-Government,High School,6.72,42.06,89.32,47.86,94.6,7.44,89.02,2,2,56.28,100.0,A,0
STU0220,Male,Government,Post Graduate,5.89,72.57,37.77,97.08,69.41,6.66,87.15,5,0,26.7,100.0,A,0
STU0221,Male,Private,High School,8.07,77.15,41.05,60.5,50.21,9.02,84.1,4,1,0.0,100.0,A,0
STU0222,Male,Government,Post Graduate,8.24,87.74,25.8,68.55,36.93,3.52,66.39,2,1,27.72,100.0,A,0
STU0223,Female,Private,Graduate,4.78,85.39,52.41,85.16,69.92,13.01,44.39,3,2,2.47,100.0,A,0
STU0224,Female,Semi-Government,Graduate,5.88,83.74,67.91,100.0,59.66,11.66,80.24,2,3,43.31,100.0,A,0
